Time,Pos,EstPos,EstVel,PosRef,Volt
26.211,0,-3.62072e-06,-0.00126155,-3.8373e-06,-3.1267
26.216,0,-1.04775e-05,-0.00269445,-1.53492e-05,-3.1387
26.221,0,-1.8094e-05,-0.00426369,-3.45357e-05,-3.15155
26.226,0,-2.63952e-05,-0.00596835,-6.13968e-05,-3.16543
26.231,0,-3.5379e-05,-0.00780839,-9.59326e-05,-3.18035
26.236,0,-4.50454e-05,-0.00978382,-0.000138143,-3.19631
26.241,0,-5.53945e-05,-0.0118946,-0.000188028,-3.21331
26.246,0,-6.64261e-05,-0.0141408,-0.000245587,-3.23134
26.251,0,-7.81403e-05,-0.0165224,-0.000310822,-3.25042
26.256,-6.82066e-05,-9.05372e-05,-0.0190394,-0.00038373,-3.27053
26.261,-6.82066e-05,-0.00016858,-0.0205239,-0.000464314,-3.27553
26.266,-6.82066e-05,-0.000179594,-0.0232772,-0.000552572,-3.30446
26.271,-6.82066e-05,-0.000193965,-0.0261994,-0.000648504,-3.32787
26.276,-0.000613859,-0.000209091,-0.0292579,-0.000752111,-3.35215
26.281,-0.000613859,-0.000744611,-0.0231089,-0.000863393,-3.24823
26.286,-0.000613859,-0.000739116,-0.0261629,-0.000982349,-3.32846
26.291,-0.000613859,-0.000755705,-0.0296203,-0.00110898,-3.35728
26.296,-0.00139824,-0.000773547,-0.0332201,-0.00124329,-3.38575
26.301,-0.00139824,-0.00153917,-0.0235251,-0.00138527,-3.22945
26.306,-0.00139824,-0.00152679,-0.0270002,-0.00153492,-3.33741
26.311,-0.00139824,-0.00154585,-0.0309959,-0.00169225,-3.37101
26.316,-0.0020462,-0.00156641,-0.0351372,-0.00185725,-3.40365
26.322,-0.0020462,-0.00220484,-0.0283195,-0.00202993,-3.28382
26.332,-0.0020462,-0.00220068,-0.032405,-0.00221029,-3.38246
26.335,-0.00279647,-0.00222262,-0.036944,-0.00239831,-3.41987
26.338,-0.00279647,-0.00296053,-0.0287805,-0.00259402,-3.27896
26.342,-0.00279647,-0.00295429,-0.0332205,-0.00279739,-3.39083
26.347,-0.00279647,-0.00297817,-0.0381643,-0.00300845,-3.43162
26.351,-0.00279647,-0.00300352,-0.0432533,-0.00322717,-3.47153
26.356,-0.00381957,-0.00302956,-0.048478,-0.00345357,-3.51243
26.361,-0.00381957,-0.00403075,-0.0363201,-0.00368765,-3.31205
26.366,-0.00381957,-0.00401694,-0.0412994,-0.0039294,-3.45605
26.371,-0.00381957,-0.00404394,-0.0469165,-0.00417882,-3.50276
26.376,-0.00470626,-0.00407269,-0.0526824,-0.00443592,-3.54788
26.381,-0.00470626,-0.00494668,-0.0434018,-0.0047007,-3.38397
26.386,-0.00470626,-0.00494109,-0.0489914,-0.00497314,-3.51866
26.391,-0.00470626,-0.00497097,-0.0551519,-0.00525327,-3.56916
26.396,-0.00596808,-0.00500245,-0.0614594,-0.00554106,-3.61844
26.401,-0.00596808,-0.00623647,-0.0462971,-0.00583654,-3.36984
26.406,-0.00596808,-0.0062185,-0.052239,-0.00613968,-3.54572
26.411,-0.00596808,-0.00625071,-0.058936,-0.00645051,-3.60137
26.416,-0.00733221,-0.00628491,-0.0657848,-0.006769,-3.65482
26.421,-0.00733221,-0.00761911,-0.0494123,-0.00709517,-3.38615
26.426,-0.00733221,-0.00759974,-0.0558442,-0.00742902,-3.5763
26.431,-0.00733221,-0.00763457,-0.0630813,-0.00777054,-3.63637
26.436,-0.00859403,-0.0076715,-0.0704717,-0.00811973,-3.69398
26.441,-0.00859403,-0.00891098,-0.0563924,-0.0084766,-3.4537
