Time,LeftRate,RightRate,EstX,EstY,EstTheta,GoalX,GoalY,GoalTheta,LeftVolt,RightVolt,LeftVelRef,RightVelRef,EstLeftVel,EstRightVel
3.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.911,0,0,0,0,0.000274875,0.000324958,0,0,12,12,0.0644007,0.0643791,0.0611559,0.0611559
3.916,0,0,0.000308837,7.01375e-08,0.000227102,0.000968604,2.43433e-10,3.7821e-07,12,12,0.127618,0.127628,0.0844236,0.0844236
3.921,1.39196,0.846398,0.000735177,2.30054e-07,0.000375091,0.00192479,2.74368e-09,2.61481e-06,12,12,0.189702,0.189886,0.0932763,0.0932763
3.926,0.586268,0.694714,0.00120622,4.95465e-07,0.000563451,0.00318748,1.43762e-08,9.21244e-06,4.49466,8.08678,0.250715,0.251343,0.903336,0.599104
3.931,0.64819,0.455358,0.00499988,2.93512e-06,0.000643086,0.00475077,5.12791e-08,2.3606e-05,6.62906,7.2804,0.308656,0.310159,0.734878,0.690149
3.936,0.535709,0.364969,0.00859807,5.46019e-06,0.000701762,0.00660885,1.44276e-07,5.00498e-05,7.35267,8.98283,0.365024,0.367923,0.710671,0.588879
3.941,0.282307,0.409936,0.0118794,5.96944e-06,0.000155195,0.00875604,3.44882e-07,9.34275e-05,8.63769,10.5725,0.419929,0.425132,0.638932,0.5036
3.946,0.54606,0.54379,0.0147643,9.5724e-07,-0.0017374,0.0111868,7.31523e-07,0.000159064,11.0289,11.3146,0.473369,0.482403,0.47157,0.499864
3.952,0.641829,0.705962,0.0172172,-6.66599e-06,-0.00310788,0.0138955,1.41526e-06,0.000252417,10.5223,11.1119,0.526092,0.539558,0.565893,0.579715
3.956,1.06173,0.853339,0.0201098,-2.0791e-05,-0.00488306,0.016877,2.54398e-06,0.000378578,9.84965,10.2687,0.577055,0.596074,0.657173,0.704545
3.962,1.10131,1.20478,0.0235481,-4.59544e-05,-0.00731854,0.0201259,4.30559e-06,0.000542215,7.00074,9.29321,0.625959,0.651888,0.931121,0.839861
3.967,1.42533,1.33009,0.0280196,-8.84039e-05,-0.009493,0.0236371,6.9278e-06,0.000746819,5.76217,6.75475,0.672449,0.705851,1.05531,1.091
3.972,1.5913,1.59407,0.0334387,-0.000145748,-0.0105814,0.0274055,1.06757e-05,0.000994572,3.30219,5.10716,0.716917,0.757399,1.28665,1.256
3.977,1.84084,1.97676,0.0398585,-0.000223757,-0.0121508,0.0314261,1.58449e-05,0.00128567,1.2818,2.89717,0.758535,0.806786,1.46614,1.46839
3.982,1.75543,1.98791,0.0472674,-0.000326592,-0.0138789,0.0356941,2.27525e-05,0.00161844,-1.11996,-0.376456,0.79736,0.853597,1.67594,1.76498
3.987,1.59019,1.62692,0.0559547,-0.000459801,-0.0153326,0.0402047,3.17275e-05,0.00198975,-1.56751,-1.75496,0.832995,0.896821,1.70265,1.87626
3.992,0.895748,1.46642,0.0649904,-0.000602718,-0.0158157,0.0449533,4.30932e-05,0.00239351,-0.395497,0.22454,0.867544,0.937352,1.61655,1.70947
3.997,0.661012,1.294,0.0733874,-0.000743744,-0.0167932,0.0499351,5.71859e-05,0.00282879,4.89827,2.5401,0.901826,0.978218,1.19111,1.55521
4.002,0.329412,0.660154,0.0803207,-0.000868698,-0.0180202,0.0551458,7.43054e-05,0.00328545,9.03432,5.15934,0.938482,1.02072,0.909011,1.40246
4.007,0.30944,0.169958,0.0861563,-0.000973262,-0.0179165,0.0605809,9.47444e-05,0.00376052,12,10.68,0.977819,1.06402,0.61061,0.988909
4.012,0.403363,0.220997,0.0901945,-0.00104189,-0.0169926,0.0662361,0.000118754,0.00424562,12,12,1.02185,1.10993,0.482399,0.541326
4.017,0.496278,0.421523,0.092779,-0.00108631,-0.0171874,0.0721071,0.000146566,0.00473715,12,12,1.06867,1.15971,0.490801,0.402405
4.023,0.419669,0.424101,0.095034,-0.00112426,-0.0168246,0.0781898,0.000178373,0.00522899,12,12,1.11733,1.20984,0.550889,0.471915
4.027,0.43689,0.321953,0.0976163,-0.00116231,-0.0147342,0.08448,0.000214335,0.00571703,12,12,1.16714,1.25801,0.527092,0.499795
4.032,0.531541,0.441823,0.100209,-0.00119638,-0.013143,0.0909739,0.000254583,0.00619793,12,12,1.21718,1.3066,0.528371,0.44819
4.037,0.658634,0.603581,0.102675,-0.00122772,-0.01271,0.0976673,0.000299223,0.00666909,12,12,1.2672,1.35658,0.586701,0.501757
4.042,0.606942,0.696193,0.105423,-0.00125989,-0.0117034,0.104557,0.000348335,0.00712857,12,12,1.31752,1.40564,0.686589,0.620893
4.047,0.744659,0.79954,0.108724,-0.00129582,-0.0108843,0.111638,0.000401976,0.00757505,12,12,1.36668,1.45361,0.693272,0.722538
4.052,0.852386,0.860234,0.112299,-0.00133559,-0.0111256,0.118907,0.000460189,0.00800766,12,12,1.41454,1.50199,0.779917,0.824366
4.058,1.06643,1.09473,0.116349,-0.0013819,-0.0114327,0.126361,0.000523,0.00842598,12,12,1.46131,1.54936,0.878614,0.90026
4.062,1.29181,1.09473,0.120841,-0.00143519,-0.0118633,0.133997,0.00059042,0.00882987,12,12,1.50693,1.59584,1.04694,1.07235
