time,x ref,y ref,theta ref,v ref,omega ref
0,0,0,0,0,0,
0.00505,0.000271438,0,0,0.05375,0,
0.0101,0.000811266,1.38565e-10,2.56683e-07,0.106897,5.08283e-05,
0.01515,0.00161647,1.57494e-09,1.78386e-06,0.159447,0.000302411,
0.0202,0.00268408,8.32288e-09,6.32061e-06,0.211408,0.000898368,
0.02525,0.00401115,2.9941e-08,1.62902e-05,0.262785,0.00197418,
0.0303,0.00559475,8.49587e-08,3.4742e-05,0.313586,0.00365382,
0.03535,0.00743202,2.04898e-07,6.52812e-05,0.363816,0.00604737,
0.0404,0.00952011,4.3861e-07,0.000111926,0.413483,0.00923661,
0.04545,0.0118562,8.56713e-07,0.000178975,0.462592,0.0132771,
0.0505,0.0144375,1.55569e-06,0.000270784,0.511151,0.0181799,
0.05555,0.0172613,2.66089e-06,0.00039139,0.559164,0.0238823,
0.0606,0.0203248,4.32939e-06,0.000544633,0.606638,0.0303452,
0.06565,0.0236254,6.74913e-06,0.000733127,0.65358,0.0373255,
0.0707,0.0271604,1.0139e-05,0.000958949,0.699995,0.0447173,
0.07575,0.0309271,1.47433e-05,0.00122236,0.745888,0.0521599,
0.0808,0.034923,2.0827e-05,0.00152249,0.791267,0.0594331,
0.08585,0.0391455,2.86708e-05,0.00185763,0.836137,0.0663627,
0.0909,0.043592,3.85486e-05,0.00222146,0.880502,0.0720466,
0.09595,0.0482601,5.0758e-05,0.00261552,0.92437,0.0780308,
0.101,0.0531472,6.55662e-05,0.00303004,0.967746,0.0820839,
0.10605,0.0582508,8.32466e-05,0.00346424,1.01063,0.0859805,
0.1111,0.0635686,0.000104037,0.00390956,1.05304,0.0881817,
0.11615,0.0690982,0.000128169,0.00436407,1.09497,0.0900025,
0.1212,0.0748371,0.000155842,0.00482193,1.13643,0.0906647,
0.12625,0.0807831,0.000187231,0.00527915,1.17743,0.0905393,
0.1313,0.0869337,0.00022249,0.00573249,1.21797,0.0897707,
0.13635,0.0932867,0.000261748,0.00617934,1.25805,0.0884834,
0.1414,0.0998398,0.000305115,0.00661762,1.29768,0.0867896,
0.14645,0.106591,0.000352682,0.00704582,1.33686,0.084791,
0.1515,0.113537,0.000404524,0.00746283,1.37561,0.0825761,
0.15655,0.120678,0.000460703,0.00786794,1.41392,0.0802202,
0.1616,0.128009,0.000521267,0.00826075,1.4518,0.077785,
0.16665,0.135529,0.000586254,0.00864112,1.48926,0.0753204,
0.1717,0.143237,0.000655693,0.00900909,1.52629,0.0728655,
0.17675,0.151129,0.000729606,0.00936486,1.56291,0.07045,
0.1818,0.159204,0.000808009,0.00970875,1.59912,0.0680961,
0.18685,0.16746,0.000890911,0.0100411,1.63493,0.0658194,
0.1919,0.175895,0.000978318,0.0103625,1.67033,0.0636305,
0.19695,0.184506,0.00107023,0.0106732,1.70533,0.0615361,
0.202,0.193293,0.00116666,0.0109739,1.73994,0.0595396,
0.20705,0.202252,0.00126758,0.0112651,1.77416,0.0576544,
0.2121,0.211381,0.00137301,0.0115472,1.808,0.0558769,
0.21715,0.22068,0.00148294,0.0118209,1.84146,0.0541959,
0.2222,0.230146,0.00159735,0.0120865,1.87454,0.0525876,
0.22725,0.239777,0.00171624,0.0123445,1.90725,0.0510834,
0.2323,0.249571,0.00183961,0.0125953,1.9396,0.0496647,
0.23735,0.259527,0.00196744,0.0128394,1.97158,0.0483387,
0.2424,0.269642,0.00209973,0.0130772,2.0032,0.047091,
0.24745,0.279915,0.00223646,0.0133091,2.03447,0.0459152,
0.2525,0.290344,0.00237764,0.0135353,2.06539,0.0448072,
0.25755,0.300928,0.00252324,0.0137564,2.09596,0.0437748,
0.2626,0.311664,0.00267326,0.0139726,2.12618,0.0428034,
0.26765,0.322551,0.00282769,0.0141841,2.15607,0.0418876,
0.2727,0.333587,0.00298653,0.0143913,2.18562,0.041031,
0.27775,0.344771,0.00314976,0.0145945,2.21484,0.0402289,
0.2828,0.356101,0.00331738,0.0147938,2.24374,0.0394718,
0.28785,0.367575,0.00348938,0.0149895,2.2723,0.0387647,
0.2929,0.379191,0.00366576,0.015182,2.30055,0.0381018,
0.29795,0.390949,0.0038465,0.0153712,2.32848,0.0374755,
0.303,0.402845,0.0040316,0.0155575,2.3561,0.0368945,
0.30805,0.41488,0.00422105,0.0157411,2.38341,0.0363461,
0.3131,0.427051,0.00441486,0.015922,2.41041,0.0358325,
0.31815,0.439357,0.004613,0.0161006,2.4371,0.0353529,
0.3232,0.451796,0.00481549,0.0162768,2.4635,0.0349002,
0.32825,0.464367,0.00502231,0.0164509,2.4896,0.0344814,
0.3333,0.477068,0.00523346,0.0166231,2.51541,0.0340853,
0.33835,0.489898,0.00544894,0.0167934,2.54093,0.0337188,
0.3434,0.502855,0.00566874,0.0169619,2.56616,0.0333736,
0.34845,0.515938,0.00589286,0.0171288,2.59111,0.0330537,
0.3535,0.529146,0.0061213,0.0172942,2.61578,0.0327539,
0.35855,0.542477,0.00635406,0.0174582,2.64017,0.0324762,
0.3636,0.555929,0.00659113,0.0176209,2.66429,0.032217,
0.36865,0.569502,0.00683251,0.0177824,2.68814,0.0319777,
0.3737,0.583194,0.00707821,0.0179428,2.71172,0.0317549,
0.37875,0.597004,0.00732822,0.0181021,2.73504,0.0315506,
0.3838,0.61093,0.00758255,0.0182605,2.75809,0.0313607,
0.38885,0.624971,0.00784118,0.018418,2.78089,0.0311883,
0.3939,0.639126,0.00810414,0.0185747,2.80343,0.0310282,
0.39895,0.653393,0.0083714,0.0187306,2.82571,0.030885,
0.404,0.667772,0.00864299,0.0188859,2.84775,0.0307529,
0.40905,0.68226,0.00891889,0.0190406,2.86954,0.0306358,
0.4141,0.696858,0.00919912,0.0191948,2.89108,0.0305293,
0.41915,0.711562,0.00948367,0.0193485,2.91239,0.0304357,
0.4242,0.726374,0.00977255,0.0195018,2.93345,0.0303535,
0.42925,0.74129,0.0100658,0.0196547,2.95428,0.0302824,
0.4343,0.75631,0.0103633,0.0198074,2.97487,0.0302221,
0.43935,0.771433,0.0106652,0.0199597,2.99523,0.0301723,
0.4444,0.786657,0.0109714,0.0201119,3.01537,0.0301325,
0.44945,0.801982,0.011282,0.0202639,3.03527,0.0301022,
0.4545,0.817407,0.011597,0.0204158,3.05496,0.0300812,
0.45955,0.832929,0.0119163,0.0205677,3.07442,0.0300695,
